TITULO EVENTO;FECHA;LUGAR;URL EVENTO;FUENTE
Lisandro Aristimuño Trio – Íntimos en el Berlín;05/06/2026;Café Berlín;https://berlincafe.es/programa/lisandro-aristimuno-trio-intimos-en-el-berlin/;https://berlincafe.es/programas/
VIII Festival Internacional de Guitarra de Madrid. Rafael Aguirre;05/06/2026;Sala de Cámara;https://auditorionacional.inaem.gob.es/es/programacion/vii-festival-internacional-de-guitarra-de-madrid-rafael-aguirre;https://auditorionacional.inaem.gob.es/es/programacion
OCNE. Concierto Extraordinario. CSIC: Armonía Elíptica;05/06/2026;Sala Sinfónica;https://auditorionacional.inaem.gob.es/es/programacion/ocne-concierto-extraordinario-csic-armonia-eliptica;https://auditorionacional.inaem.gob.es/es/programacion
LOS MODELOS;06/06/2026;Sala El Sol;https://salaelsol.com/eventos/los-modelos-2/;https://salaelsol.com/agenda/
Conan Gray – Wishbone World Tour 2026;06/06/2026;Arena;https://www.palaciovistalegre.com/event/conan-gray-wishbone-world-tour-2026/;https://www.palaciovistalegre.com/events/
Delirios de España - El podcast;06/06/2026;Teatro Alcázar;https://gruposmedia.com/cartelera/delirios-de-espana-el-podcast/;https://gruposmedia.com/teatro-alcazar/
¡Eureka! -Mikel Bermejo;06/06/2026;Pequeño Teatro Gran Vía;https://gruposmedia.com/cartelera/eureka-mikel-bermejo/;https://gruposmedia.com/pequeno-teatro-gran-via/
Yo sobreviví a la EGB;06/06/2026;Teatro Real Carlos III de Aranjuez;https://teatroaranjuez.es/cartelera/yo-sobrevivi-a-la-egb/;https://teatroaranjuez.es/cartelera/
Viajeros entre Historias;06/06/2026;Matadero Madrid;https://www.mataderomadrid.org/programacion/viajeros-entre-historias;https://www.mataderomadrid.org/programacion
Ronda de libros;06/06/2026;Matadero Madrid;https://www.mataderomadrid.org/programacion/ronda-de-libros-0;https://www.mataderomadrid.org/programacion
Hechizo - Homenaje a Héroes del Silencio;06/06/2026;Sala La Riviera;https://www.entradas.com/artist/hechizo-homenaje-a-heroes-del-silencio/?Affiliate=RIV;https://salariviera.com/conciertossalariviera/
ASTOR Quintet – la música de Astor Piazzolla – Concierto para quinteto;06/06/2026;Café Berlín;https://berlincafe.es/programa/astor-quintet-la-musica-de-astor-piazzolla-concierto-para-quinteto/;https://berlincafe.es/programas/
ÓSCAR EL RUSO;06/06/2026;La Sala del Movistar Arena;https://www.movistararena.es/informacion?evento=scar-el-ruso;https://www.movistararena.es/calendario
VIII Festival Internacional de Guitarra de Madrid. Pablo Sainz Villegas;06/06/2026;Sala de Cámara;https://auditorionacional.inaem.gob.es/es/programacion/vii-festival-internacional-de-guitarra-de-madrid-pablo-sainz-villegas;https://auditorionacional.inaem.gob.es/es/programacion
Filarmonía de Madrid. Broadway en Concierto;06/06/2026;Sala Sinfónica;https://auditorionacional.inaem.gob.es/es/programacion/filarmonia-de-madrid-broadway-en-concierto-2;https://auditorionacional.inaem.gob.es/es/programacion
Madrid Sinfónica MSDA. Star Wars;06/06/2026;Sala Sinfónica;https://auditorionacional.inaem.gob.es/es/programacion/madrid-sinfonica-msda-star-wars;https://auditorionacional.inaem.gob.es/es/programacion
IA Ignorancia artificial 2.0 Alexis Valdés;07/06/2026;Teatro Alcázar;https://gruposmedia.com/cartelera/ia-ignorancia-artificial-2-0-alexis-valdes/;https://gruposmedia.com/teatro-alcazar/
